S.No.,HSCode,Commodity,Unit,Jul  2021 (R),Jul  2022 (R),%Growth,Apr-Jul  2021 (R),Apr-Jul  2022 (R),%Growth
1.,01051100,FOWLS OF SPCS GALLUS DOMES WT<= 185 G,NOS  ,0.06,NaN,NaN,0.06,NaN,NaN
2.,02023000,"BONELESS MEAT OF BOVINE ANIMALS , FROZEN",KGS  ,NaN,NaN,NaN,21.99,NaN,NaN
3.,02062200,"EDIBLE LIVERS OF BOVINE ANIMALS, FROZEN",KGS  ,84.00,NaN,NaN,531.50,NaN,NaN
4.,02062900,"OTHR EDIBLE OFFAL OF BOVINE ANIMALS,FROZEN",KGS  ,140.50,NaN,NaN,286.49,NaN,NaN
5.,04021010,SKIMMED MILK,KGS  ,NaN,NaN,NaN,50.00,NaN,NaN
6.,04022920,MILK FOR BABIES,KGS  ,NaN,NaN,NaN,16.80,NaN,NaN
7.,07032000,GARLIC FRESH OR CHILLED,KGS  ,NaN,115.67,NaN,NaN,115.67,NaN
8.,07104000,SWEET CORN FRZN,KGS  ,NaN,NaN,NaN,150.00,NaN,NaN
9.,07129030,DEHYDRATED GARLIC FLAKES,KGS  ,NaN,NaN,NaN,NaN,92.38,NaN
10.,07132010,KABULI CHANA,KGS  ,NaN,629.94,NaN,NaN,"2,635.36",NaN
11.,08011920,"COCONUT ,DRIED EXCL. DESICCATED AND ENDOCARP",KGS  ,NaN,NaN,NaN,175.00,100.00,-42.86
12.,08013220,"CASHEW KARNEL, WHOLE",KGS  ,NaN,24.00,NaN,24.00,86.80,261.67
13.,08039010,"BANANAS, FRESH",KGS  ,"1,162.62",44.35,-96.19,"15,304.01","1,975.30",-87.09
14.,08045029,OTHER,KGS  ,NaN,NaN,NaN,13.95,NaN,NaN
15.,08055000,LEMONS(CITRUS LIMON CITRUS LIMONUM) AND LIMES(CITRUS AURANTIFOLIA) FRSH OR DRIED,KGS  ,NaN,NaN,NaN,79.00,NaN,NaN
16.,08061000,GRAPES FRESH,KGS  ,NaN,NaN,NaN,100.38,40.80,-59.35
17.,08109010,POMEGRANATES FRESH,KGS  ,NaN,NaN,NaN,163.90,NaN,NaN
18.,08109020,TAMARIND FRESH,KGS  ,NaN,NaN,NaN,NaN,112.00,NaN
19.,08134010,TAMARIND DRIED,KGS  ,NaN,NaN,NaN,22.75,NaN,NaN
20.,09023020,BLACK TEA IN PACKT>25 GM BUT<=1 KG,KGS  ,NaN,NaN,NaN,9.63,NaN,NaN
21.,09024010,TEA BLACK IN PCKT>3KG BUT<= 20 KG,KGS  ,15.30,NaN,NaN,127.69,24.80,-80.58
22.,09024020,"TEA BLACK,LEAF IN BULK",KGS  ,46.00,62.64,36.19,68.50,178.64,160.81
23.,09024030,"TEA BLACK,DUST IN BULK",KGS  ,NaN,27.49,NaN,NaN,27.49,NaN
24.,09042211,CHILLY POWDER,KGS  ,0.32,NaN,NaN,0.32,NaN,NaN
25.,09042219,CRUSHED OR GROUND; OTHER FRUITS OF GENUS CAPSICUM,KGS  ,NaN,NaN,NaN,73.29,100.06,36.52
26.,09071010,EXTRACTED,KGS  ,NaN,NaN,NaN,NaN,3.00,NaN
27.,09081110,IN SHELL,KGS  ,NaN,NaN,NaN,NaN,4.00,NaN
28.,09083110,LARGE ( AMOMUM),KGS  ,5.00,23.00,360.00,110.30,117.00,6.07
29.,09083120,"SMALL (ELLETTARIA),ALLEPPEY GREEN",KGS  ,10.00,NaN,NaN,35.00,80.09,128.83
30.,09083130,"SMALL, COORG GREEN",KGS  ,NaN,NaN,NaN,2.50,NaN,NaN
31.,09083190,OTHER CARDAMOM; NEITHER CRUSHED NOR GROUND,KGS  ,NaN,8.20,NaN,10.05,25.20,150.75
32.,09083290,OTHER CARDAMOM; CRUSHED OR GROUND,KGS  ,NaN,NaN,NaN,1.80,NaN,NaN
33.,09093129,OTHER SEEDS OF CUMMIN EXCL. BLACK; NEITHER CRUSHED NOR GROUND,KGS  ,738.48,978.60,32.52,"3,903.00","2,605.60",-33.24
34.,09096139,OTHER SEEDS OF CARAWAY OR FENNEL,KGS  ,NaN,54.00,NaN,NaN,259.00,NaN
35.,09101110,FRESH,KGS  ,NaN,NaN,NaN,538.08,NaN,NaN
36.,09101120,"DRIED, UNBLEACHED",KGS  ,NaN,20.00,NaN,43.50,93.02,113.83
37.,09101190,OTHER GINGER; NEITHER CRUSHED NOR GROUND,KGS  ,NaN,NaN,NaN,25.00,NaN,NaN
38.,09103020,DRY,KGS  ,NaN,NaN,NaN,NaN,12.00,NaN
39.,09109919,OTHER SPICES N.E.S,KGS  ,NaN,NaN,NaN,NaN,27.00,NaN
40.,09109990,"OTHER SPICES, NES",KGS  ,NaN,NaN,NaN,14.34,NaN,NaN
41.,10011100,SEED,KGS  ,NaN,NaN,NaN,NaN,0.02,NaN
42.,10019910,WHEAT,KGS  ,NaN,NaN,NaN,NaN,"23,500.00",NaN
43.,10063020,BASMATI RICE,KGS  ,NaN,NaN,NaN,635.50,NaN,NaN
44.,10071000,SEED,KGS  ,NaN,NaN,NaN,NaN,12.00,NaN
45.,10079000,OTHER GRAIN SORGHUM,KGS  ,NaN,NaN,NaN,193.50,NaN,NaN
46.,10082120,BAJRA,KGS  ,NaN,23.00,NaN,792.00,142.60,-81.99
47.,10082920,BAJRA,KGS  ,NaN,NaN,NaN,NaN,72.00,NaN
48.,11010000,WHEAT OR MESLIN FLOUR,KGS  ,NaN,778.70,NaN,NaN,"8,620.98",NaN
49.,11029090,OTHER FLOUR OF HDG. 1102,KGS  ,NaN,NaN,NaN,NaN,1.20,NaN
50.,11081200,STARCH OF MAIZE (CORN),KGS  ,NaN,NaN,NaN,11.88,NaN,NaN
51.,12024190,OTHER GROUNDNUT IN SHELL,KGS  ,43.88,129.34,194.75,429.08,820.94,91.32
52.,12024210,"KERNELS, H.P.S",KGS  ,NaN,104.00,NaN,78.88,502.00,536.41
53.,12030000,COPRA,KGS  ,NaN,373.50,NaN,NaN,868.50,NaN
54.,12079990,OTHER OIL SEEDS AND OLEGINOUS FRUITS W/N BROKEN,KGS  ,NaN,NaN,NaN,1.00,NaN,NaN
55.,12099160,TOMATO SEEDS,KGS  ,0.01,NaN,NaN,0.07,0.01,-82.09
56.,12099170,CHILLY SEEDS,KGS  ,NaN,NaN,NaN,102.98,74.96,-27.21
57.,12099190,VEGETABLE SEEDS FOR PLANTING N.E.S.,KGS  ,12.12,31.15,157.04,108.26,141.68,30.87
58.,12099910,FRUIT SEEDS FOR PLANTING OR SOWINGS,KGS  ,NaN,NaN,NaN,NaN,NaN,NaN
59.,12099990,OTHER SEEDS ETC FOR PLANTING N.E.S,KGS  ,2.58,NaN,NaN,10.42,8.30,-20.37
60.,12119013,PSYLLIUM SEED (ISOBGUL),KGS  ,NaN,NaN,NaN,1.00,19.00,"1,800.00"
61.,12119019,"OTHER SEEDS FRSH/DRID W/N CUT CRSHD/ PWDRDUSD IN PERFMRY,PHARM ETC/",KGS  ,7.56,NaN,NaN,7.56,NaN,NaN
62.,12119029,"OTHER LEVS,PWDR,FLURS AND PODS FRSH/DRD W/N CUT CRSHD/PWDRD",KGS  ,3.89,NaN,NaN,3.89,2.72,-30.08
